id,random ID,ResponseType,TrialNumber,Response,Group,Identifier,Points,prev_response,partner_id,partner_prev_response,partner_response,BC,DecisionType,Content,Size,Structure,Run
2,49792.0,hashtag,7,tsunami,8.0,h20s1,0.0,electricity,4.0,energy,leakage,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,8,setsuden,7.0,h20s1,0.0,tsunami,4.0,leakage,accident,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,9,danger,1.0,h20s1,0.0,setsuden,4.0,accident,2011,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,10,ocean,10.0,h20s1,0.0,danger,1.0,2011,nucleardisaster,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,11,thyroidcancer,5.0,h20s1,0.0,ocean,4.0,nucleardisaster,ocean,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,12,oceanwaste,9.0,h20s1,0.0,thyroidcancer,3.0,ocean,earthquake,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,13,radiation,1.0,h20s1,0.0,oceanwaste,4.0,earthquake,energy,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,14,saveenergy,9.0,h20s1,0.0,radiation,4.0,energy,energy,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,15,disaster,10.0,h20s1,0.0,saveenergy,0.0,energy,tsunami,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,16,tsunami,7.0,h20s1,0.0,disaster,4.0,tsunami,energy,C,RP,Hashtag,20,Spatial,1
2,49792.0,hashtag,17,earthquake,7.0,h20s1,0.0,tsunami,1.0,energy,nucleardisaster,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,18,emergency,5.0,h20s1,0.0,earthquake,0.0,nucleardisaster,disaster,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,19,safety,4.0,h20s1,0.0,emergency,3.0,disaster,tsunami,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,20,earthquake,9.0,h20s1,0.0,safety,3.0,tsunami,safety,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,21,electricity,10.0,h20s1,0.0,earthquake,1.0,safety,earthquake,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,22,tsunami,9.0,h20s1,0.0,electricity,3.0,earthquake,island,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,23,radiation,1.0,h20s1,0.0,tsunami,4.0,island,tsunami,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,24,energy,7.0,h20s1,0.0,radiation,4.0,tsunami,cancer,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,25,disaster,10.0,h20s1,0.0,energy,4.0,cancer,radiation,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,26,cancer,9.0,h20s1,0.0,disaster,1.0,radiation,earthquake,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,27,tsunami,6.0,h20s1,0.0,cancer,3.0,earthquake,power,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,28,tsunami,4.0,h20s1,0.0,tsunami,4.0,power,radiation,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,29,tsunami,5.0,h20s1,0.0,tsunami,0.0,radiation,cancer,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,30,tsunami,6.0,h20s1,1.0,tsunami,4.0,cancer,tsunami,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,31,energy,8.0,h20s1,0.0,tsunami,0.0,tsunami,nucleardisaster,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,32,energy,3.0,h20s1,1.0,energy,0.0,nucleardisaster,energy,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,33,earthquake,3.0,h20s1,0.0,energy,4.0,energy,tsunami,C,EC,Hashtag,20,Spatial,1
2,49792.0,hashtag,34,earthquake,4.0,h20s1,0.0,earthquake,3.0,tsunami,nuclear,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,35,earthquake,4.0,h20s1,0.0,earthquake,3.0,nuclear,incident,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,36,earthquake,2.0,h20s1,0.0,earthquake,0.0,incident,tsunami,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,37,earthquake,5.0,h20s1,0.0,earthquake,4.0,tsunami,tsunami,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,38,earthquake,8.0,h20s1,0.0,earthquake,4.0,tsunami,tsunami,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,39,earthquake,1.0,h20s1,0.0,earthquake,1.0,tsunami,radiation,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,40,earthquake,8.0,h20s1,0.0,earthquake,3.0,radiation,nuclear,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,1,nuclear,6.0,h20s1,0.0,nan,1.0,,publichealth,B,BN,Hashtag,20,Spatial,1
