RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
4/17/2024 10:55,"In 2011, there was a nuclear disaster in Fukushima, Japan, called the Fukushima nuclear disaster, caused by a tsunami. To this day, the health effects on humans and the environment are still being felt from Japan to California. #nuclearpower #japan #electricity #tsunami #health",#radiation,#nucleardisaster,#california,#health,#naturaldisaster,#worldhealth,#climate,#ocean,#women,#cancer,"In 2011, there was a nuclear disaster in Fukushima, Japan. Today, the effects of the disaster are still being felt, from environmental factors to health factors like rising rates of thyroid cancer in Japan. ",#nucleardisaster,#earthquake,#tsunami,#cancer,#climate,#thyroidcancer,#nuclearwaste,#disaster,#worldnews,#environmentaldisaster,31541
4/17/2024 10:56,"The Fukushima nuclear disaster was a terrrible event that many are still experiencing the negative effects of. However, some good has come out of it due to the Japanese Setsuden movement.",#NuclearDisaster,#LearningFromDisaster,#Setsuden,#RadioactiveExposure,#NaturalDisaster,#RememberFukushima,#JapanStrong,#FukushimaFallout,#LongtermEffects,#GrowthFromDisasterJapan,"Even though Fukushima happened in the past, we cannot forget the people still living with the fallout and we should all learn from the positive Setsuden movement it has created.",#NuclearDisaster,#NaturalDisaster,#FukushimaChildren,#Cancer,#Setsuden,#GrowthFromDisaster,#RememberFukushima,#RadioactiveEffects,#LongTermFallout,#CleanPlanet,16573
4/17/2024 10:56,"The Fukushima nuclear disaster was awful to learn about! It happened in 2011 and affected so many people. It was caused by the most powerful earthquake ever recorded in Japan. It damaged so much and even to this day, infant girls have a higher chance of getting thyroid cancer",#Sad,#Earthquake,#Disaster,#Damage,#Nuclear,#2011,#Tsunami,#Power,#Energy,#Waves,The accident that happened in 2011 in Japan was so tragic. A record breaking earthquake leading to a tsunami damaged a nuclear power plant. That led to disaster in so many ways. Exposed infant girls even have a 70% chance of getting thyroid cancer because of it. ,#tsunami,#nuclear,#accident,#earthquake,#waves,#tragic,#sad,#2011,#power,#disaster,92544
4/17/2024 10:56,"Natural disasters sometimes cause rude awakenings for societal changes. One instance is what happened in Fukushima, Japan. Due to a massive earthquake a power plant went off causing waves of massive destruction. Also, ultimately leading to a power consumption reform.",#disasters,#energyreform,#naturaldisaster,#japanesehistory,#earthquakes,#strange,#massiveearthquake,#climatechange,#govermentdisasters,#metldowns,"Sometimes it takes a natural disaster to happen for us to realize we need radical change. One Instance is what happened in Fukushima, Japan. A massive earthquake rocked Fukushima, causing massive damage and causing the power plant to erupt as well. A needed reform was the outcome",#NaturalDisaster,#Energy,#PowerPlant,#PowerPlants,#Earthquake,#JapaneseHistory,#PowerPlantDisasters,#SafeEnergy,#RenewableEnergy,#Remember,98795
4/17/2024 10:56,Japan is usually better about making buildings more resistant to earthquakes and damage caused by them. This was an avoidable disaster and so many people lost their ,#Earthquakes,#NaturalDisaster,#Avoidable,#FailuretoPlan,#Tsunami,#Displaced,#NuclearDisaster,#Whowillhelpthepeople?,#HumanitarianAidNeeded,#Whatcanwelearnfromthis,"This was a preventable disaster. Not only has it affected those that live in Japan, but it's effects can be seen as far as California. People were displaced and some people are at a higher risk of thyroid cancer due to this disaster. ",#tsunami,#naturaldisaster,#nucleardisaster,#thyroidcancer,#earthquake,#fukushimacancer,#radioactive,#babygirls,#california,#alternativeenergy,61051
4/17/2024 10:56,"Fukushima disaster must never happen again!  Save energy to cut back on reliance on nuclear energy.  Earthquakes happen, but nuclear disasters don't have to.",#nuclear,#radioactive,#exclusionzone,#radioactiverelease,#disaster,#displacement,#Tōhoku,#tsunami,#Daiichi,#savingelectricity,Fukushima must never happen again!  Save Energy to help conserve electricity.  Keep us safe!,#tsunami,#radioactive,#disaster,#pacific,#ocean,#earthquake,#saveenergy,#conserve,#tidalwave,#nuclear,53318
4/17/2024 10:56,"The 2011 Fukushima nuclear disaster was caused by the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan. The damage caused radioactive isotopes in reactor coolant to discharge into the sea and increase cancer risk.",#FukushimaDisaster,#ThyroidCancer,#2011Tsunami,#45FootTallWave,#ExclusionZone,#RadioactiveIsotopes,#SetsudenSavingElectricity,#DaiichiNuclearPowerPlant,#TōhokuEarthquake,#MostPowerfulJapaneseEarthquake,"The 2011 Fukushima Nuclear disaster was caused by Japan's largest earthquake. The disaster caused ongoing  health concerns, including a significant increase in thyroid cancer among girls. There was also an exclusion zone surrounding the disaster.  ",#FukushimaDisaster,#NuclearDisaster,#Earthquake,#LargestJapaneseEarthquake,#ExclusionZone,#ThyroidCancer,#45FootWave,#FukushimaNuclearDisaster,#2011Earthquake ,#ReduceElectricityUsage,93702
4/17/2024 10:56,"Japn suffers nuclear calamity due to tsunami, nuclear plant floods and leaks radioactive material. The population cut way back on electric usage",#nuclearpower,#naturaldisasters,#disasters,#tsunamiedamage,#JapanDisasters,#environment,#pollution,#nuclearproblems,#overreatction,#greenenergy,Nuclear power does not have enough safeguards in place,#nuclearpower,#nuclearpowerProblems,#EnivrnomentalDiasiaste,#EmvormentealProblems,#CorporateGreed,#CapitalismProblems,#Tsunaimi,#JapanTsusami,#ManmadeDisasters,#NuclearDisiasters,93763
4/17/2024 10:56,"Nuclear disaster in Daiichi Nuclear Power Plant in Fukushima, Japan. Earthquake causes radioactive isotopes go into sea.
#earthquake
#saving electricity",#Earthquake,#savingelectricity,#Nucleardisaster,#Radioactiveisotopes,#Ocean,#Nuclearpowerplant,#displacedpeople,#2011Nuclearaccident,#Japan,#Disaster,Devastating earthquake causes Tsunami that hits Nuclear power plant causing radioactive isotopes to go in the sea.,#earhtquake,#tsunami,#radioactiveisotopes,#thyroidcancer,#pacificocean,#sea,#Wave,#Nuclear,#Powerplant,#saveenergy,27028
4/17/2024 10:56,"Sometimes, it takes a disaster to inspire change.
#setsuden #saveelectricity #climatechange",#Fukushima,#Setsuden,#nuclearpower,#saveelectricity,#japan,#tsunami,#radioactive,#daiichinuclearpowerplant,#daiichi,#energyshortage,"Sometimes, it takes a disaster for change to occur.",#energyconsumption,#saveenergy,#tsunami,#radiation,#nucleardisaster,#Setsuden,#nuclearplant,#earthquake,#tidalwave,#energyshortage,15941
