RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
6/21/2024 11:39,Remembering the tragedy of the 2011 nuclear accident at the Daiichi Nuclear Power.  The aftermath of exposure still reflects today and the health of others that were exposed.,#DaiichiNuclearPowerPlant,#JapanTragedy,#Japan,#NuclearPowerPlant,#radiationaccident,#Tohoku,#JapanEarthquake,#NuclearDisaster,#TsunamiEarthquake,#NuclearDisaster,Remembering the nuclear disaster of Japan and its aftermath,#nucleardisaster,#earthquake,#nuclear,#tsunami,#nucleardisasteraftermath,#radiationdisaster,#nuclearearthquake,#tragedyjapan,#radiationaftermath,#tsunamiearthquake,24451
6/21/2024 11:39,"Climate change has real and lasting physical consequences as evidenced by the number of women diagnosed with thyroid issues following the nuclear accident in Fukushima, caused by the Tohuku earthquake in 2011.",#climatechange,#thyroid,#earthquake,#tsunami,#Fukushima,#Daiichi,#Tohoku,#radioactivity,#cancer,#radioactiveisotopes,"Natural disasters have serious implications for people, such as the increased risk for thyroid cancer following the Fukushima reactor incident, caused by an earthquake-induced tsunami.",#earthquake,#tsunami,#naturaldisaster,#thryroidcancer,#nucleardisaster,#energysaving,#radioactive,#reactor,#naturalevents,#tsunamieffects,57969
6/21/2024 11:49,"Fukushima's 2011 disaster: triggered by earthquake & tsunami, led to nuclear contamination & mass evacuations. Impact still felt in health & energy policies globally. #FukushimaDisaster",#TsunamiImpact,#NuclearDisaster,#RadioactiveIsotopes,#EnergyShortage,#SetsudenMovement,#HealthConcerns,#GlobalImpact,#EnvironmentalDisaster,#EnergyConservation,#PublicHealth,"Reflecting on the Fukushima nuclear disaster: triggered by earthquake and tsunami, it reshaped global energy policies and sparked health concerns. Lessons learned continue to influence environmental safety worldwide. #FukushimaDisaster #NuclearSafety #GlobalImpact #EnergyPolicy #",#NuclearAccident,#EarthquakeDamage,#RadiationImpact,#EnergyConservation,#GlobalAwareness,#EnvironmentalSafety,#HealthConcerns,#DisasterResponse,#RenewableResources,#PolicyChanges,80969
6/21/2024 11:37,Infant girls exposed to the radiation have a 70% chance to develop thyroid cancer because of Fukushima.  It was a deadly disaster causing much destruction.,#disaster,#cancer,#radiation,#plant,#power,#nuclear ,#destruction,#isotopes ,#rads,#unhealthy,Fukushima was a bad nuclear disaster that cause a lot of global descruction.,#power,#plant,#destruction,#fallout,#nuclear,#energy,#isotopes,#cancer,#thyroid,#tsunami,31138
6/21/2024 11:39,Fukushima nuclear disaster in 20111 caused massive dame but ends up causing reduction in energy usage in Japan ,#nucleardisaster,#energyreduction,#tidalwave,#mar112011,#tsunami,#thyroidcancer,#disaster,#electricity,#radiationdamages,#displacement,nuclear disaster ultimately reduces energy consumption in Japan ,#nucleardisaster,#radiation,#thyroidcancer,#earthquake,#nuclearrisk,#pollution,#march112011,#tsunami,#nuclearenergy,#nuclearfail,72696
6/21/2024 11:44,"Remembering Fukushima: 11 yrs ago, a devastating earthquake & tsunami caused a nuclear disaster, displacing 156,000 people & spreading radioactive particles across the Pacific. Let's honor the victims & continue to prioritize safety & sustainability #Fukushima #NuclearDisaster",#NuclearDisaster,#TsnamiTragedy,#RadioactiveLegacy,#SustainabiltyMatters,#SafetyFirstAlways,#EnergyCrisisManagement,#TalkAboutDisasters,#DisasterRememberance ,#EnvironmentalResilience,#ControlProblems,"Fukushima nuclear disaster: 11 yrs ago, a massive earthquake & tsunami caused widespread destruction & radioactive contamination. Let's learn from the past & work towards a safer, more sustainable future #FukushimaAnniversary #RenewableEnergy",#RenewableEnergy,#FukushimaAnniversary,#NuclearEnergy ,#SustainableMemory,#EnergyDisaster,#DisastrousEnergy,#EnergyNuclear,#MoralityofEnergy,#NuclearDisasters,#NuclearEnergies ,84539
6/21/2024 11:38,It is so sad to know how the people of Japan suffered at the hands of war. But it is also amazing to see how they have perservered nonetheless and are making efforts to save electricity. #war #nuclear #fukushima,#nuclearwar,#energy,#savingelectricity,#awareness,#thryoidcancer,#energyconsumption,#tragedy,#naturaldisaster,#WHO,#letshelp,This event is a tragedy that should bring awareness to what has happened in Japan. We should advance our efforts to decrease energy consumption.,#war,#naturaldisaster,#asia,#earthquake,#nuclear,#tsunami,#worldnews,#wow,#tragedy,#energyconsumption,68538
6/21/2024 11:38,Japan's most powerful earthquake caused the Fukushima nuclear disaster and sparked the Setsuden energy conversation movement,#setsuden,#energy,#conservation,#nuclear,#disaster,#climatechange,#tsunami,#earthquake,#setsuden,#humaningenuity,Japan's most powerful earthquake caused the Fukushima nuclear disaster which led to the Setsuden energy conservation movement,#nuclearenergy,#disaster,#energy,#conservation,#climatechange,#sustainability,#earthquake,#tsunami,#technology,#cleanenergy,19955
6/21/2024 11:39,Everything everywhere matters. #GlobalFamily #Fukushima #NuclearEnergy #globalharm #Setsudan #Conserve #Windand solarpower,#Setsudan,#GlobalFamily,#Fukushima,#WindandSolarEnergy,#EverythingEverywhereMatters,#NuclearAccident,#Earthquake,#NuclearEnergy,#Conservation,#OceanPolution,"The Fukushima nuclear disaster, much like Chernobyl, sow how much this world needs to switch to solar and wind power!",#Fukushima,#Japan,#Earthquake,#nuclear,#disaster,#Tsunami,#Pollution,#Global,#Ocean,#ExclusionZone,10842
6/21/2024 11:38,"Japanese people are more than just smart, they are resilient. They turned a disaster into a movement that helps to conserve energy. How can we Americans learn from this? #inspirational #fukushima #environmentallyfriendly",#environmentallyfriendly,#savingelectricity,#positivemovement,#cantholdusdown,#happylifelesselectricity,#weareunited,#movingforwardwithless,#powereddown,#efficientelectricity,#worldlygood,It is not everyday that you come across an event that leads to a positive change in people's behaviors but here we are. We have japanese people lowering their electricity use after the fukushima disaster. Simply inspirational. ,#tsunami,#lessismore,#radiationleakage,#lesselectricity,#positiveoutcome,#disasterscanbegood,#japanesetsunamipositiveoutcome,#positivereinforcement,#cancerispossible,#movingforwardwithless,22527
6/21/2024 11:39,"There was a major disaster at a Japanese nuclear plant.  It was caused by a tsunami that displaced people and caused great harm.  
This event caused the Japanese government to issue policies to help with energy consumption in the future.",#tsumani,#japan,#nuclearpower,#iinfangirls,#government,#who,#wave,#disaster,#japenesepeople,#accident,"There was a tsunami that caused a large wave to hit a nuclear power plant in Japan.  There will be problems with infant girls having fertility issues.
The Japanese government has issued new laws to work with energy consumption.",#tsunami,#2011,#health,#nucleardisaster,#nuclear,#disaster,#wave,#powercomption,#who,#infertility,81563
6/21/2024 11:39,"A terrible nuclear disaster occurred in Fukushima, Japan. It was so devastating that it hurt both locally & globally.
Approximately 156,000 people were displaced during this incident, and residents are facing grave issues such as thyroid cancer.",#nuclear,#radioactive,#disaster,#horrific,#cancer,#thyroid,#japan,#terrible,#sadness,#fukushima,"terrible nuclear disaster that harmed many lives and also harmed the world globally. this tragic incident also increased risks of cancer, especially thyroid. ",#nuclear,#nucleardisaster,#disaster,#heartbreaking,#thyroid,#cancer,#depressing,#sadness,#tsunami,#global,83425
6/21/2024 11:39,just learned about the fukushima disaster that happened in japan in 2011 because of a power earthquake. glad it led to the decrease of energy consumption but very unfortunate nonetheless. #japan #disaster #energyconsumption,#energyconsumption,#gogreen,#japan,#naturaldisaster,#WHO,#thyroidcancerawareness,#fukushima,#setsuden,#sustainability,#energywaste,"just learned about the fukushima disaster that happened in japan in 2011 due to the earthquake. upside is that there have been policies put in place to reduce energy consumption, but unfortunate that it happened at all.",#thyroidcancer,#naturaldisaster,#climateaction,#gogreen,#sustainability,#earthquake,#climatedisaster,#energyconservation,#WHO,#2011earthquake,30639
6/21/2024 11:38,"The Fukushima Nuclear Disaster of 2011 was truly a tragedy. The nuclear waste is causing problems even today, causing thyroid cancer in many Japanese women.  ",#Disasters,#Nuclear,#ReduceElectricity,#GoGreen,#PlanetEarth,#Nuclear,#SaveThePlanet,#Cancer,#Earthquakes,#Setsuden,The Fukushima nuclear disaster was such a tragedy. What happened then has repercussions even today. Many women who lived near the accident are developing thyroid cancer. ,#nucleardisaster,#earthquake,#tragedy,#gogreen,#disasters,#cancer,#nucleartragedy,#protecttheplanet,#savetheearth,#reduceelectricity,67085
6/21/2024 11:40,Setsuden-saving energy.  The crisis that started to save the world.  Who would have thought that a nuclear crisis would have inspired the country to sa,#Setsuden,#saveenergy,#tsunamigreen,#decreaseenergyconsumption,#Japangoinggreen,#savethelights,#tidalwave,#eathquake,#shakeitup,#choosethedark,Japan experienced a tragic event but has grown from it.  They are using the Setsuden or mandatory conservation of energy that thye ued during this time to continue to conserve energy for future generations.  Talk about a way to make lemonade out of lemons.  Way to go Japan.  ,#tsumani,#earthquake,#death,#mourning,#lemonade,#Setsuden,#energy,#Conservation,#GOGREEN,#SAVEtheplanet,57958
6/21/2024 11:41,"The 2011 Fukushima nuclear disaster messed up a lot of people's homes and lives. The disaster happened at the Daiichi Nuclear Power Plant in Fukushima, Japan. As a result, there was a very powerful earthquake and tsunami.",#DaiichiNuclearPowerPlant,#cutbackelectricalusage,#powerplant,#2011,#radioactive ,#death,#radioactiveisotopes,#destruction,#naturaldisaster,#nucleardisaster,"The Tohoku disaster of 2011 impacted Japan and affected the lives of many people living there. The event started with an earthquake that Japan had never seen before. Tsunamis followed, causing complete destruction and death. ",#asia,#naturaldisaster,#neverforget,#nuclear,#tsunami,#flood,#death,#destruction,#pollution,#electricalusage,27300
6/21/2024 11:37,Fukushima nuclear event caused a displacement of over 150k people but the affects can be felt worldwide all the way to United States. Causing thyroid cancer in some Japanese girls. Reducing energy consumption has been the focus in Japanese new policies.,#nucleareffects,#radioativewasteearthquake,#lessenergyuse,#japanthyroidcancer,#scaryearthquake,#lowerenergyuse,#worldwidecrisisnuclearwaste,#environmentalconcern,#pacificwaterdump,#earthquakenucleareffects,Japan just gone through a earthquake tsunami and nuclear plant crisis of Fukushima. Our hearts are with them. ,#earthquake,#climatechange,#crisis,#cancer,#california,#thyroid,#naturaldisaster,#greenenergy,#lessconsumptionenergy,#tsunamiclimatechange,85834
6/21/2024 11:38,"japan experienced its worst earthquake and worst tsunami on March 11, 2011. This affected 156,000 people living there even years later. Residents were encouraged to reduce electricity use later. ",#earthquake,#tsunami,#devastation,#reducelectricity,#water,#isotopes,#radiation,#displacedpeople,#wreckage,#damages,"On March 11, 2011 Fukushima Japan experienced both an earthquake and a tsunami. Even years later over 156,000 people have been displaced. The Japanese government urged people to reduce their electricity use after. ",#earthquake,#tsunami,#nucleardisaster,#naturaldisaster,#disaster,#helpjapan,#prayforjapan,#nuclear,#isotope,#savethepeople,22321
6/21/2024 11:43,"Reflecting on Fukushima: 2011 earthquake triggered a nuclear disaster, displacing thousands and sparking global health concerns. Japan's energy-saving movement emerged from the crisis. #Fukushima #Japan #earthquake #nucleardisaster #energy",#earthquake,#tsunami,#radiationimpact,#energyshortage,#healthconcerns,#environmentalimpact,#disasterrecovery,#nuclearcrisis,#setsuden,#globalimpact,Reflecting on the Fukushima nuclear disaster triggered by a powerful earthquake and tsunami in 2011. The aftermath reshaped energy policies and raised global awareness on radiation risks.,#nucleardisaster,#earthquakeimpact,#tsunamidamage,#healthimpact,#environmentalhazard,#radiationrisks,#disasterresponse,#publicsafety,#radiationeffects,#humanitariancrisis,11687
6/21/2024 11:44,"Mother Nature doesn't play around. The consequences of this disaster will be felt for generations, but the Japanese came together for conservation. ",#FukushimaDisaster,#SetsudenWorldwide,#MotherNatureDontPlay,#RadioactiveOceans,#ComeTogetherForConservation,#SavePowerSaveLives,#EnergyPolicy,#NuclearCrisis,#AlternativeEnergy,#CleanEnergy,"The Fukoshima disaster had a lasting impact on the environment and Japan's energy policy. Fossil fuels have got to go...but is it time to rethink nuclear?

",##RadioactiveSeas,#Sedusen4Everyone,#CleanEnergy,#PowerSolutions,#MotherNatureDontPlay,#TidalWave,#Tsunami,#SaveOurSeas,#AlternativeEnergy,#Meltdown,97117
