,Trial,Experimental Homogeneous Hashtag,Centola Homogeneous Hashtag,CAA Homogeneous Hashtag,Experimental Spatial Hashtag,Centola Spatial Hashtag,CAA Spatial Hashtag,Experimental Homogeneous Face,Centola Homogeneous Face,CAA Homogeneous Face,Experimental Spatial Face,Centola Spatial Face,CAA Spatial Face
28,28,0.5239310970376085,0.19407590052724719,0.5800985693226388,0.6848666821598598,0.41108665203805633,0.605562837380561,0.36929411490219183,0.2090610247175824,0.4408195737446065,0.6104500021387026,0.40572675504900424,0.5602441629591722
29,29,0.4847698392020736,0.17622890905967242,0.5784123924921194,0.6594324310132206,0.40007944683727914,0.5985244828135842,0.36462947990911365,0.19352191145397843,0.4259105308524967,0.5895860221655668,0.39916958310877687,0.5581468999681952
30,30,0.4970623235761259,0.16242833411435126,0.565204416159029,0.6325288744419372,0.3943573361743001,0.5919335242473975,0.3332207961847772,0.17933432912565905,0.41811860197461165,0.5822059587701651,0.3925544736356867,0.5554572477992535
31,31,0.4834339859185716,0.14716291466789985,0.5584009593381675,0.6196032660807157,0.3881636663820335,0.5898635765635281,0.35451516806493144,0.165308991536682,0.4100265378924442,0.5700902296582828,0.38845501460259446,0.5541448784645097
32,32,0.49091965708566276,0.13422040595252135,0.5521849721025165,0.6438808133411754,0.38219472935680526,0.589063285932965,0.32517306351959424,0.1507840722291921,0.4013828110549504,0.5727905272877958,0.3821588643372326,0.5516161049517528
33,33,0.4854649678766778,0.12084108066623774,0.5483268985604027,0.6013971765410959,0.3784461990053576,0.5830430772356824,0.29653676008837193,0.13888528956685386,0.38958828368532694,0.5471817236543711,0.37583038530034346,0.5463780786415099
34,34,0.4679226736477987,0.10714097571154028,0.5361479352426078,0.637489300494923,0.37319614118602606,0.5811179640618339,0.28730005808942066,0.12354440727470394,0.385350017622099,0.5595571526423919,0.3669475457838213,0.5437148318261135
35,35,0.470313953826799,0.09518808511364896,0.530684849905163,0.5990891767471623,0.36787098783672106,0.5721507483675871,0.26883401570826404,0.11555960705020257,0.37913161093985015,0.5437228145441516,0.35864811029297283,0.5447012791634886
36,36,0.4698066680188244,0.08280152691171057,0.5223913633136626,0.6209891811523897,0.3642698874956546,0.568552017320673,0.2784075843682473,0.1054543983128188,0.3774145079915292,0.5410767243316955,0.3571936364935131,0.5433715100404037
37,37,0.4278018391075418,0.07291039629851838,0.5229505765363126,0.6071268775600835,0.3598614811519457,0.564176312605461,0.2580576169110978,0.09760672478734618,0.3714415556190263,0.5412228025372312,0.35127618247519726,0.5422064309434306
38,38,0.437731174410116,0.06212063053681506,0.5149464638487853,0.6105688653711366,0.3583112852813052,0.5629747126152516,0.23031063558299938,0.08664035751921924,0.36542912167805575,0.5573292495024129,0.3455520571478782,0.541710298747231
39,39,0.42951476077773126,0.05650235120353342,0.5142055725842969,0.6051023294056451,0.355374324596622,0.5645640501535754,0.22843663728634966,0.08214448851381391,0.3601239684580402,0.5615687725973041,0.34142763297989204,0.5389513326083943
40,40,0.3893306356536845,0.05213127714012573,0.5001713508788609,0.5804642028431771,0.35057606533259394,0.5594120361723381,0.21645064408437953,0.07225616585935754,0.35802430400299123,0.5433759227689886,0.3374961174366711,0.5387614746783298
