id,random ID,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,old_decisiontype,BC,DecisionType,Identifier,Content,Size,Structure,Run
2,49792.0,hashtag,34,earthquake,4.0,0.0,earthquake,3.0,tsunami,nuclear,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,35,earthquake,4.0,0.0,earthquake,3.0,nuclear,incident,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,36,earthquake,2.0,0.0,earthquake,0.0,incident,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,37,earthquake,5.0,0.0,earthquake,4.0,tsunami,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,38,earthquake,8.0,0.0,earthquake,4.0,tsunami,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,39,earthquake,1.0,0.0,earthquake,1.0,tsunami,radiation,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,40,earthquake,8.0,0.0,earthquake,3.0,radiation,nuclear,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,1,nuclear,6.0,0.0,nan,1.0,,publichealth,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,2,energy,10.0,0.0,nuclear,4.0,publichealth,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,3,tsunami,1.0,0.0,energy,2.0,earthquake,safety,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,4,publicconcern,10.0,0.0,tsunami,4.0,safety,nuclear,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,5,nuclear,3.0,0.0,publicconcern,5.0,nuclear,setsuden,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,6,energy,5.0,0.0,nuclear,2.0,setsuden,electricity,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,7,power,9.0,0.0,energy,5.0,electricity,radiation,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,8,irradiation,6.0,0.0,power,1.0,radiation,japannucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,9,explosion,2.0,0.0,irradiation,5.0,japannucleardisaster,tsunami,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,10,coastline,1.0,0.0,explosion,4.0,tsunami,risk,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,11,danger,4.0,0.0,coastline,1.0,risk,tsunami,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,12,earthquake,9.0,0.0,danger,2.0,tsunami,oceanwaste,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,13,pollution,2.0,0.0,earthquake,5.0,oceanwaste,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,14,earthquake,10.0,1.0,pollution,5.0,earthquake,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,15,electricity,1.0,0.0,earthquake,1.0,earthquake,powerplant,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,16,power,8.0,0.0,electricity,5.0,powerplant,radioactive,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,17,radioactive,8.0,0.0,power,5.0,radioactive,powerplant,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,18,radioactive,6.0,0.0,radioactive,1.0,powerplant,earthquake,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,19,tsunami,4.0,0.0,radioactive,2.0,earthquake,safety,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
