,Trial,Experimental Homogeneous Hashtag,Centola Homogeneous Hashtag,CAA Homogeneous Hashtag,Experimental Spatial Hashtag,Centola Spatial Hashtag,CAA Spatial Hashtag,Experimental Homogeneous Face,Centola Homogeneous Face,CAA Homogeneous Face,Experimental Spatial Face,Centola Spatial Face,CAA Spatial Face
13,13,0.7551251259483125,0.5754322599721011,0.7222511566922026,0.7669062923483791,0.5714920009846849,0.7145359813937869,0.6887531397127793,0.5852310141150067,0.6353268789828769,0.6595294757773621,0.5774785499489429,0.6450695166686614
14,14,0.752516847395623,0.5432705691419427,0.7142716545345569,0.7674728515270864,0.5511413468635729,0.7052986517268711,0.6602802989742148,0.5562365477888139,0.6120547693657303,0.6642715006667974,0.5604747667675338,0.634554929913486
15,15,0.7309648346706625,0.5227469178602281,0.697459572284054,0.7579316378440153,0.5413607473237716,0.697966980364149,0.6854264025855915,0.5305163986298284,0.5914691810226766,0.6248822464336373,0.5461767287380497,0.6261474175854534
16,16,0.7128442644934773,0.49008825702191516,0.6901448440606599,0.7444692007323701,0.5279864462933532,0.6905172066225715,0.6492317330539605,0.5010240752246935,0.5743801788488456,0.6366658293455335,0.5321694835793006,0.6153768166945908
17,17,0.6995002150031525,0.4615949529632952,0.6857277088222431,0.7380957615708276,0.5173904746935872,0.6835647277982753,0.5920632892512045,0.4732725938394095,0.5570093024635341,0.6344977026694288,0.5212684073731944,0.6076852490448502
18,18,0.689668064042685,0.43605101864499063,0.6808163542870602,0.7559209553479599,0.5042451820619309,0.6773355056669362,0.5674611678168681,0.4457968165595705,0.5427926596831203,0.6067688461753092,0.5066876275253276,0.601344465126129
19,19,0.653340532081185,0.4085986495117519,0.6708078757755007,0.7426839740624186,0.4920777985163927,0.6722840401873053,0.5693101158424645,0.41848689775614484,0.5285248900725058,0.6036320843892474,0.4971127794812894,0.5942404709297798
20,20,0.613914257827065,0.3813327810308753,0.6609733099599342,0.6960149177663054,0.4836599514229589,0.6574302324941512,0.5124341350905134,0.3921468074125738,0.5105582131633868,0.6076890302602057,0.48573994278716076,0.5894812042464328
21,21,0.645248144111437,0.36037352742721734,0.6541398686809543,0.6763203486782052,0.4696276903049357,0.651314877393635,0.5076656394580531,0.3634538952987522,0.4924073724251582,0.5944232299221365,0.4763695344985394,0.5852447154862868
22,22,0.6130769567289601,0.33640667000275043,0.6488026048614409,0.6777462766546788,0.4571203990913267,0.643430888338063,0.5168704246144742,0.3365966074757882,0.47725256912022035,0.6061983545669859,0.46362892695655605,0.5777064692173567
23,23,0.5697776304467445,0.3204066420508634,0.6333654758014194,0.6951267053065003,0.4474717712800643,0.6356098359519347,0.4928154724870544,0.31319032156884263,0.46336004184814655,0.6067859464217238,0.45393759286771407,0.5760515983875898
24,24,0.6184048504471883,0.2974137611642052,0.6230580220181053,0.7248194733482175,0.4338035637233141,0.6292756140361202,0.4656115336520327,0.2907559746039255,0.4511218539419381,0.5896234581091223,0.4441246150520461,0.571729889692425
25,25,0.5951185038142602,0.2735782609252255,0.6112681113396081,0.7129308460643966,0.42463090334201076,0.6225825709597933,0.4573290777901083,0.2673163758911111,0.43894522836113525,0.5935064985569884,0.4339555895414957,0.5698925058001157
26,26,0.5509216027701692,0.25595775157094985,0.5967313390574864,0.6617364935981176,0.4157700546994119,0.6138226975268635,0.4163863019670934,0.24760469761769774,0.4306939721385827,0.5925282522123384,0.4245734372372827,0.5649366297529772
27,27,0.5250452327655973,0.23148127784793224,0.59664255346716,0.6433922569893015,0.4101017518347859,0.6145584401717172,0.367298821154026,0.22260303500142453,0.41697539677779344,0.5734649751505865,0.42119452028813287,0.5605126801034618
28,28,0.5239310970376085,0.21497166124382297,0.5947006026845265,0.6848666821598598,0.3991918171993467,0.6093087071465788,0.36929411490219183,0.20450909388277477,0.40617115697611844,0.6104500021387026,0.41348533812960525,0.557720011271527
29,29,0.4847698392020736,0.19857629542494443,0.5805697431850793,0.6594324310132206,0.39246123863385307,0.5974756414591043,0.36462947990911365,0.185095491658884,0.3968940565693054,0.5895860221655668,0.4039896744517653,0.5541714362787665
30,30,0.4970623235761259,0.1812441498376185,0.5636687157628204,0.6325288744419372,0.3845686387327572,0.5943710622869254,0.3332207961847772,0.16662634817676103,0.3889199528941373,0.5822059587701651,0.3997518344120231,0.5555844262006091
31,31,0.4834339859185716,0.16314896569863302,0.5574777512086037,0.6196032660807157,0.37840493353026494,0.5906281500394316,0.35451516806493144,0.15191047445364922,0.37719741853779853,0.5700902296582828,0.39229704205328303,0.5527865837056847
32,32,0.49091965708566276,0.15181498068813146,0.5488133386461485,0.6438808133411754,0.3731618801270482,0.5916457145896107,0.32517306351959424,0.1346258449511411,0.36921448680997393,0.5727905272877958,0.3847694236285503,0.5519152291221069
33,33,0.4854649678766778,0.1398846096453233,0.540765097703253,0.6013971765410959,0.3678867361396445,0.5821304089915131,0.29653676008837193,0.12032689823606409,0.3597524280693637,0.5471817236543711,0.37984011785166494,0.5482990843880464
34,34,0.4679226736477987,0.1255112487397368,0.5327178213523096,0.637489300494923,0.3615755042505087,0.584217366176516,0.28730005808942066,0.1066769638807295,0.35401427002949065,0.5595571526423919,0.3745240898364344,0.5475247327894754
35,35,0.470313953826799,0.11118284421338837,0.5195258896148868,0.5990891767471623,0.3558537425750075,0.581686013427614,0.26883401570826404,0.09878865163936558,0.3485217056554816,0.5437228145441516,0.3669834561618536,0.5477209569051987
